#MACHO_ID class amplitude hl_amp_ratio kurtosis n_points period period_SNR period_log10FAP period_uncertainty phase_cusum phase_eta phi21 phi31 quartile31 r21 r31 shapiro_w skewness slope_per10 slope_per90 stetson_k weighted_mean weighted_std
           1.3812.18         Cepheid   0.2126   1.1215  -1.2645  1236    7.8468236 233.2138 -232.7004    0.0301515   0.2604   0.1085  -1.5175  -3.8142   0.2790   0.2493   0.0541   0.9461   0.0230  -1.3096   1.4202   0.8097  -9.1336   0.1577
           1.3927.29         Cepheid   0.3618   0.4587  -1.0000  1215    3.4495538 229.6625 -199.0364    0.0050964   0.3581   0.0170   1.0548  -0.9100   0.4830   0.4414   0.2450   0.9162  -0.5230  -0.5636   0.6723   0.6673  -8.4522   0.3015
           1.3927.46         Cepheid   0.2594   0.4910  -1.1464  1187    3.2109054 222.4185 -204.7608    0.0044193   0.3282   0.0953   1.0356   2.1878   0.3680   0.3761   0.1680   0.9123  -0.4540  -0.4268   0.5055   0.7159  -8.2656   0.2113
           1.3927.58         Cepheid   0.2535   0.4574  -0.7743  1203    3.0411554 220.3324 -183.1688    0.0039613   0.2772   0.2744   0.9312  -1.1468   0.3325   0.3733   0.1517   0.9363  -0.5562  -0.2310   0.1985   0.6718  -8.1074   0.2185
           1.3928.26         Cepheid   0.1783   0.6603  -1.3696  1187    3.1153865 232.0113 -239.2573    0.0041602   0.3156   0.0869  -3.1556  -3.5424   0.2430   0.0823   0.0361   0.9193  -0.2082  -0.5563   0.5542   0.7767  -8.8815   0.1307
          1.3929.107         Cepheid   0.3002   0.5096  -1.1002  1226    3.0276291 224.6852 -205.4622    0.0039262   0.2893   0.0897   1.0669   2.1893   0.4177   0.4088   0.1913   0.9299  -0.4178  -0.3420   0.3901   0.6829  -7.1414   0.2504
           1.3933.64         Cepheid   0.2294   0.6116  -1.2756  1219    3.2754115 232.8668 -228.2762    0.0052554   0.2929   0.0455  -2.1387  -4.1788   0.3190   0.3062   0.1163   0.9162  -0.3353  -0.7035   0.6223   0.7489  -7.7392   0.1750
         1.4046.1615         Cepheid   0.2835   0.5293  -1.1258  1164    3.5097521 221.4600 -195.4723    0.0053973   0.2766   0.0826   1.0631  -0.7913   0.3900   0.4155   0.1782   0.9252  -0.4152  -0.5652   0.4582   0.7035  -8.1088   0.2329
         1.4047.1441         Cepheid   0.3707   0.5379  -1.1065  1188    3.3922877 218.5467 -188.8947    0.0056727   0.3733   0.0792   1.1451   2.4169   0.5200   0.4467   0.2334   0.9287  -0.4039  -0.4609   0.3777   0.6935  -8.1469   0.3102
           1.4048.28         Cepheid   0.1056   0.7094  -1.0890  1209    1.2765344 230.4245 -215.8239    0.0007980   0.2375   0.2813   0.8022   0.6058   0.1460   0.1199   0.0240   0.9566  -0.1591  -0.2310   0.2307   0.7741  -7.3811   0.0797
